Maximum,Minimum,Mean
123037.61170978,57924.75295,90481.18232989
197596.65842389,10842.30925,104219.483836945
252527.428849136,6781.007136,129654.217992568
230820.452455369,11682.04699,121251.249722685
317015.860449504,80830.85462,198923.357534752
248933.920342799,49384.6356907189,149159.278016759
341795.600351175,26590.5109723243,184193.05566175
198038.250869024,25636.47949,111837.365179512
456229.69308673,58533.52932,257381.611203365
484656.833001058,51288.6430488166,267972.738024937
455835.442836625,68855.11088,262345.276858312
564040.896291683,73377.43968,318709.167985841
523069.413234725,78149.51522,300609.464227363
440071.332733094,99709.1071741158,269890.219953605
415458.334372164,88489.70438,251974.019376082
345492.135048484,113719.720354033,229605.927701259
537945.310236649,51491.25023,294718.280233325
939922.160681212,194039.456125178,566980.808403195
1002953.50220585,358737.7985,680845.650352925
831855.623281532,253612.9372,542734.280240766
759876.344307681,142213.4203,451044.88230384
945294.219708552,332336.584424593,638815.402066573
1160981.20314204,441624.267030149,801302.735086094
1317391.45377768,178565.1765,747978.31513884
974425.925792937,188757.2352,581591.580496469
1553220.9522667,423097.033266784,988158.992766742
1580748.55362763,336630.112419871,958689.33302375
1556604.38728695,60153.8798,808379.133543475
1446481.46834327,550589.9423,998535.705321635
2123879.13254084,290107.4582,1206993.29537042
1508363.40580552,611217.2441,1059790.32495276
1457468.01690926,598717.320472623,1028092.66869094
2806124.67679571,173715.3854,1489920.03109785
2204622.4159905,750135.1219,1477378.76894525
1603614.92498333,394446.4621,999030.693541665
2430652.37000878,414694.9241,1422673.64705439
2459024.00186147,435846.8102,1447435.40603074
2066587.20159847,457937.1309,1262262.16624924
3136425.30485986,168210.3349,1652317.81987993
3016581.78496553,556425.0516,1786503.41828276
3648529.16166463,583775.2861,2116152.22388231
4276898.20428116,164090.9481,2220494.57619058
3645151.88159268,739047.623,2192099.75229634
3330329.69579279,61345.85064,1695837.77321639
2254944.24403837,190277.3268,1222610.78541918
4487058.4460847,349738.5406,2418398.49334235
4791735.66340886,1410455.116,3101095.38970443
3511417.78547304,688525.2857,2099971.53558652
4003308.39003906,1477151.57281729,2740229.98142817
2267802.1811236,698066.787489872,1482934.48430674
4771894.45242969,1223905.67004581,2997900.06123775
2507547.40602265,428604.710982111,1468076.05850238
3012024.70331165,1350447.73378217,2181236.21854691
3560370.93903917,1278475.06782289,2419423.00343103
4986401.2007133,1488311.12195071,3237356.16133201
2082346.80043507,940065.851221085,1511206.32582808
3822869.87811164,2290331.49590924,3056600.68701044
1718268.10447021,1035641.18882385,1376954.64664703
2521869.64468565,1201045.84805542,1861457.74637053
3703233.49272306,966295.367868853,2334764.43029596
3585038.61712381,554746.958032222,2069892.78757802
3489324.69651313,757912.475018022,2123618.58576558
1515824.95003604,656445.16881136,1086135.0594237
1375580.45513836,638613.104888058,1007096.78001321
1440894.84022798,668950.28943538,1054922.56483168
2101655.44418961,385886.109636315,1243770.77691296
733463.884331175,422773.205395962,578118.544863569
1535468.37050213,49583.3943978602,792525.882449995
410780.238123602,49583.3943978602,230181.816260731
1758388.97581285,1758388.97581285,1758388.97581285
320178.260821256,320178.260821256,320178.260821256
536500.564679087,536500.564679087,536500.564679087
65650.0836949764,65650.0836949764,65650.0836949764
65650.0836949764,65650.0836949764,65650.0836949764
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
